Provider,Beneficiary_Count,Claim_Count,Dead_Beneficiary_Count,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,RenalDiseaseIndicator,is_inpatient,Has_AdmitDiag,Has_GroupCode,Has_Deductible,Claim_GT_Admitted,Same_Physician,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,InscClaimAmtReimbursed,DeductibleAmtPaid,Age,Days_Admitted,Disease_Count,Physician_Count,Unique_Physicians,Diag_Code_Count,Proc_Code_Count,Claim_Duration,TotalClaimAmt,IP_TotalAmt,OP_TotalAmt,Reimburse_std,Reimburse_max,Reimburse_min,Deductible_std,Deductible_max,ClaimDur_std,ClaimDur_max,DaysAdm_std,DaysAdm_max,PotentialFraud,Claims_Per_Bene,Inpatient_Ratio,Dead_Patient_Ratio,Reimburse_CV,Reimburse_Deductible_Ratio,Diag_Entropy,Proc_Entropy,Physician_HHI,InpatientRatio_std,Reimburse_skew,ClaimDate_std,Dead_Claim_Rate,Unique_Proc_Codes
PRV51001,24,25,0,15,19,17,5,10,9,21,23,6,8,6,8,5,11,5,5,3,7,17606.0,897.12,2615.2,463.92,4185.6,213.6,77.88,1.0,5.56,1.6,1.28,3.2,0.12,1.44,4399.2,18503.12,3079.12,10796.09114448373,42000,10,436.0091742154057,1068.0,3.367491648096547,14,3.0000000000000004,14,0,1.0416666666666667,0.2,0.0,2.5793413475926337,19.59550561797753,4.236856596764836,1.0986122886681096,0.10720000000000003,0.408248290463863,3.0812766096143336,93.2353652501739,0.0,3.0
PRV51003,117,132,1,56,80,64,10,41,54,100,112,33,38,12,29,62,78,62,63,12,42,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,4588.409090909091,502.1666666666667,69.08333333333333,2.4242424242424243,4.545454545454546,1.5303030303030303,1.1818181818181819,5.25,0.36363636363636365,3.6742424242424243,5090.575757575758,8499.60606060606,3415.3030303030305,7309.794728746168,57000,0,534.5824391278849,1068.0,5.515413810226188,27,3.9868509299606907,27,1,1.1282051282051282,0.4696969696969697,0.008547008547008548,1.5931000448998534,9.137223546450231,5.489818190692287,3.6003698152028174,0.12959136822773182,0.5009821489619499,3.7344352204065,104.67980987477884,0.007575757575757576,39.0
PRV51004,138,149,1,64,88,50,16,41,63,105,108,49,46,17,23,0,28,0,7,21,33,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,350.13422818791946,2.0805369127516777,71.26174496644295,0.0,4.342281879194631,1.604026845637584,1.3221476510067114,2.5838926174496644,0.0,1.429530201342282,352.2147651006711,4786.832214765101,2817.6510067114095,689.9637540197714,3300,0,11.166744050203258,100.0,4.783495037919234,20,0.0,0,0,1.0797101449275361,0.0,0.007246376811594203,1.9705692802174801,168.29032258064518,5.296257279184477,0.0,0.055628124859240555,0.0,2.8917713504076414,109.05820838881432,0.006711409395973154,0.0
PRV51005,495,1165,3,426,680,507,165,295,485,799,895,344,331,124,259,0,252,0,48,124,365,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,241.1244635193133,3.1759656652360513,69.52618025751073,0.0,4.335622317596567,1.5991416309012876,1.2094420600858369,2.5888412017167384,0.0,1.088412017167382,244.30042918454936,4003.1536480686696,2746.062660944206,491.556391867259,4080,0,17.026584404796676,200.0,4.1074374711292805,20,0.0,0,1,2.3535353535353534,0.0,0.006060606060606061,2.038600251060328,75.92162162162163,6.403003997384134,0.0,0.18895967599434857,0.0,4.007320084025235,104.32952830870816,0.0034334763948497852,0.0
PRV51007,58,72,1,26,40,22,12,16,29,49,51,21,22,12,11,3,17,3,5,4,22,3050.0,445.0,1729.7222222222222,469.72222222222223,468.19444444444446,45.333333333333336,68.30555555555556,0.2222222222222222,4.166666666666667,1.5277777777777777,1.125,2.986111111111111,0.013888888888888888,0.9583333333333334,513.5277777777778,3495.0,2199.4444444444443,1433.7691157058025,10000,0,214.82072447036353,1068.0,3.4455012513768493,20,1.103416234492438,7,0,1.2413793103448276,0.041666666666666664,0.017241379310344827,3.062336883144995,10.32781862745098,4.917611519640172,0.0,0.3294753086419753,0.2012286205947824,5.269700653594216,103.51648069854787,0.013888888888888888,1.0
PRV51008,36,43,0,17,25,14,9,9,12,30,33,11,6,2,10,2,9,2,4,7,10,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,828.6046511627907,53.86046511627907,74.6046511627907,0.18604651162790697,3.9069767441860463,1.5348837209302326,1.255813953488372,3.1627906976744184,0.046511627906976744,1.5348837209302326,882.4651162790698,7213.023255813953,3186.5116279069766,3224.7654631552364,21000,0,227.45523697719065,1068.0,4.415065319094559,20,0.8798217880557071,5,0,1.1944444444444444,0.046511627906976744,0.0,3.891802270998461,15.384283246977546,4.38802556122565,0.6931471805599453,0.14548404542996213,0.21308263231644634,6.125986247236881,105.5331819462218,0.0,2.0
PRV51011,53,58,1,25,37,25,4,21,31,41,44,20,16,2,12,1,13,1,5,5,7,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,286.7241379310345,23.586206896551722,73.43103448275862,0.08620689655172414,4.586206896551724,1.5689655172413792,1.3620689655172413,2.5344827586206895,0.0,0.5517241379310345,310.3103448275862,5089.103448275862,1766.0344827586207,701.0478070917784,5000,0,140.92165728028857,1068.0,2.4073893102251005,17,0.6565321642986129,5,0,1.0943396226415094,0.017241379310344827,0.018867924528301886,2.445025424613539,12.156432748538013,4.630002833952341,0.0,0.04815695600475625,0.13130643285972252,5.6704422222155495,108.79349336438783,0.017241379310344827,0.0
PRV51012,31,48,0,18,26,22,6,21,19,35,38,17,17,3,7,0,17,0,1,15,9,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,351.875,2.0833333333333335,73.54166666666667,0.0,4.625,1.4791666666666667,1.25,2.5625,0.0,3.7083333333333335,353.9583333333333,7775.333333333333,4529.166666666667,707.8936578689371,3300,0,14.433756729740638,100.0,7.237486143251596,20,0.0,0,0,1.5483870967741935,0.0,0.0,2.0117759371053276,168.89999999999998,4.576208298062314,0.0,0.13263920325939346,0.0,3.1861326830270777,89.53567180081187,0.0,0.0
PRV51013,44,46,0,17,26,19,4,16,18,37,36,12,16,2,11,0,12,0,3,9,19,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,323.4782608695652,5.0,73.41304347826087,0.0,4.413043478260869,1.565217391304348,1.108695652173913,2.5434782608695654,0.0,1.4565217391304348,328.4782608695652,4228.95652173913,4141.304347826087,471.622341339171,1800,0,19.748417658131498,90.0,4.415661630248658,20,0.0,0,0,1.0454545454545454,0.0,0.0,1.457972291774319,64.69565217391303,4.572595218747172,0.0,0.2911153119092628,0.0,2.0693191549158696,108.9634450958199,0.0,0.0
PRV51014,25,30,1,16,17,16,2,9,10,19,20,6,12,3,8,0,5,0,3,5,11,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,349.3333333333333,4.0,70.2,0.0,4.333333333333333,1.9666666666666666,1.3666666666666667,3.6666666666666665,0.0,0.4666666666666667,353.3333333333333,3213.5333333333333,2391.6666666666665,822.984196996362,3300,0,14.52702594334507,70.0,1.6760654528683694,9,0.0,0,0,1.2,0.0,0.04,2.3558707929285174,87.33333333333333,4.411410876961664,0.0,0.17241379310344832,0.0,3.378723515049461,111.80290539682953,0.03333333333333333,0.0
